,benchmark,target,total_iterations,threads,messages,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,eating_rounds,philosophers,workers,precision,haircuts,waiting_room_size,production_rate,haircut_rate,actors,data_length,block_threshold,priorities,terms,series,start_rate,num_workers,block_size,max_edge_weight,rounds,smokers,messages_per_worker,write_percentage,size,threshold,solution_limit,pieces,left,right,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,columns,simulations,channels,accounts,transactions,data_size,max_value,seed,grid_size,pings,size_percentage
70,Precise Pi Computation,lf-cpp,12,18,,master,[],default,103.055,114.827,107.31649999999999,107.79899999999999,,,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Precise Pi Computation,lf-cpp,12,2,,master,[],default,83.6617,88.222,85.18825,85.70899166666665,,,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Cigarette Smokers,lf-cpp,12,9,,master,[],default,10.0856,11.0121,10.48555,10.523433333333333,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
73,Radix Sort,lf-cpp,12,18,,master,[],default,527.011,563.003,547.019,545.3351666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
74,Counting Actor,lf-cpp,12,18,1000000.0,master,[],default,414.993,431.258,422.118,421.8584166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Filter Bank,lf-cpp,12,18,,master,[],default,322.854,348.925,336.68899999999996,336.8085833333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,
76,Thread Ring,lf-cpp,12,9,,master,[],default,211.291,217.909,214.777,215.24116666666666,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,
77,NQueens first N solutions,lf-cpp,12,2,,master,[],default,419.09,442.489,430.936,430.73866666666663,,,,,,,,,,,,10.0,,,,20.0,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,,,,,,,,,,
78,Concurrent Sorted Linked List,lf-cpp,12,2,,master,[],default,241.926,254.67,246.471,247.2311666666667,,,20.0,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0
79,A-Star Search,lf-cpp,12,9,,master,[],default,165.709,587.704,332.41650000000004,333.14641666666665,,,,,,,,,,,,30.0,,,,20.0,,,,,,,,2014.0,,,,,,,,,,,,,,,,,,,30.0,,
80,Bank Transaction,lf-cpp,12,18,,master,[],default,121.156,147.43,134.5885,135.23333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,
81,Cigarette Smokers,lf-cpp,12,4,,master,[],default,10.5714,10.8243,10.75415,10.726558333333331,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
82,Logistic Map Series,lf-cpp,12,4,,master,[],default,71.5173,80.7725,75.17535000000001,75.50173333333335,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Bank Transaction,lf-cpp,12,4,,master,[],default,122.699,143.219,126.518,128.10925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,
